genome	HPV_type
AY057438.1	HPV90
D21208.1	HPV67
DQ080079.1	HPV68
M62849.1	HPV39
M62877.1	HPV51
U31794.1	HPV66
X00203.1	HPV6
AB027020.1	HPV69
AF293960.1	HPV84
AJ400628.2	HPV87
X74483.1	HPV56
X77858.1	HPV59
D90400.1	HPV58
X74481.1	HPV52
M14119.1	HPV11
K02718.1	HPV16
X74482.1	HPV53
AJ620209.1	HPV81
J04353.1	HPV31
U21941.1	HPV70
X05015.1	HPV18
M73236.1	HPV42
U31793.1	HPV61
X74476.1	HPV34
X94165.1	HPV73
AY395706.1	HPV62
AF151983.1	HPV83
DQ080081.1	HPV101
X74477.1	HPV35
AF436130.1	HPV74
AJ620205.1	HPV43
M12732.1	HPV33
U37488.1	HPV54
X74479.1	HPV45
U31788.1	HPV44
X74475.1	HPV32
X94164.1	HPV72
AB027021.1	HPV82
AF349909.1	HPV86
AF436128.1	HPV89
GQ244463.1	HPV114
