sample	references	type
L324R553	D21208.1	67
L324R553	M62877.1	51
L324R553	M62849.1	39
L324R553	U31794.1	66
L324R553	X00203.1	6
L324R553	DQ080079.1	68
L324R553	AY057438.1	90
L324R554	U31794.1	66
L324R554	X74483.1	56
L324R554	AB027020.1	69
L324R554	AF293960.1	84
L324R554	X77858.1	59
L324R554	X00203.1	6
L324R554	AJ400628.2	87
L324R555	M62877.1	51
L324R556	X77858.1	59
L324R557	D90400.1	58
L324R557	X74481.1	52
L324R559	D21208.1	67
L324R560	U31794.1	66
L324R562	X00203.1	6
L324R562	X77858.1	59
L324R564	M14119.1	11
V521R481	K02718.1	16
V521R482	X74482.1	53
V521R482	DQ080079.1	68
V521R483	K02718.1	16
V521R483	U21941.1	70
V521R483	D21208.1	67
V521R483	J04353.1	31
V521R483	U31794.1	66
V521R483	AJ620209.1	81
V521R483	M62877.1	51
V521R484	AY057438.1	90
V521R484	J04353.1	31
V521R485	X05015.1	18
V521R486	M62877.1	51
V521R486	X74476.1	34
V521R486	U31793.1	61
V521R486	M73236.1	42
V521R486	X94165.1	73
V521R487	M62877.1	51
V521R487	D21208.1	67
V521R487	X74482.1	53
V521R488	X77858.1	59
V521R488	M73236.1	42
V521R488	J04353.1	31
V521R489	X94165.1	73
V521R489	X74476.1	34
V521R490	X05015.1	18
V521R490	X00203.1	6
V521R491	AY395706.1	62
V521R491	DQ080079.1	68
V521R493	X74483.1	56
V521R493	K02718.1	16
V521R494	AF151983.1	83
V521R494	X74481.1	52
V521R494	X74482.1	53
V521R494	DQ080081.1	101
V521R495	K02718.1	16
V521R495	AJ620209.1	81
V521R495	D21208.1	67
V521R495	U21941.1	70
V521R497	X74477.1	35
V521R498	M62877.1	51
V521R500	X77858.1	59
V521R500	M73236.1	42
V521R500	J04353.1	31
V521R501	X94165.1	73
V521R502	X05015.1	18
V523E01	X94165.1	73
V523E03	D90400.1	58
V523E03	X74483.1	56
V523E03	AJ620205.1	43
V523E03	X74482.1	53
V523E03	AF436130.1	74
V523E03	U37488.1	54
V523E03	M12732.1	33
V523E05	M62877.1	51
V523E05	X74479.1	45
V523E05	X74476.1	34
V523E06	X74483.1	56
V523E06	AJ620205.1	43
V523E06	X77858.1	59
V523E06	X74481.1	52
V523E06	M73236.1	42
V523E06	K02718.1	16
V523E06	M12732.1	33
V523E06	AF436130.1	74
V523E06	X74482.1	53
V523E06	U31788.1	44
V523E06	AY057438.1	90
V523E06	X94164.1	72
V523E06	U31793.1	61
V523E06	X74475.1	32
V523E06	X00203.1	6
V523E07	U31794.1	66
V523E07	M62877.1	51
V523E07	X74483.1	56
V523E07	X05015.1	18
V523E08	X00203.1	6
V523E08	X74479.1	45
V523E08	U31788.1	44
V523E08	D90400.1	58
V523E08	AY395706.1	62
V523E08	X74481.1	52
V523E08	X74482.1	53
V523E09	AB027021.1	82
V523E09	X74477.1	35
V523E09	U31793.1	61
V523E10	X05015.1	18
V523E10	X77858.1	59
V523E11	X77858.1	59
V523E11	X74482.1	53
V523E11	M12732.1	33
V523E11	X74479.1	45
V523E11	M73236.1	42
V523E11	AJ620209.1	81
V523E11	U31794.1	66
V523E12	K02718.1	16
V523E13	AF436128.1	89
V523E13	AB027021.1	82
V523E13	AF349909.1	86
V523E13	AJ400628.2	87
V523E13	X77858.1	59
V523E13	U31794.1	66
V523E15	AJ620205.1	43
V523E15	X74483.1	56
V523E15	X74482.1	53
V523E15	D90400.1	58
V523E15	U37488.1	54
V523E15	AJ400628.2	87
V523E15	M14119.1	11
V523E15	M12732.1	33
V523E15	X74481.1	52
V523E15	DQ080079.1	68
V523E16	M73236.1	42
V523E17	M62877.1	51
V523E17	X74479.1	45
V523E17	X74476.1	34
V523E18	X74481.1	52
V523E18	X94164.1	72
V523E18	X77858.1	59
V523E18	U31788.1	44
V523E18	X74483.1	56
V523E18	AY057438.1	90
V523E18	K02718.1	16
V523E18	AF349909.1	86
V523E18	M12732.1	33
V523E18	AJ620205.1	43
V523E18	AF151983.1	83
V523E18	X74475.1	32
V523E18	DQ080079.1	68
V523E20	GQ244463.1	114
V523E22	X00203.1	6
V523E22	X05015.1	18
